ROW_ID,ZIPCODE,LONGITUDE,LATITUDE,UNITS,LONGITUDE_RAD,LATITUDE_RAD,CENTER_SALES
5248,42349,7.1418,51.216,6022,0.12464792451893103,0.8938878297014159,169730.0
3042,42117,7.1239,51.2498,4797,0.12433551058282404,0.89447775098859,161966.0
4967,42115,7.103,51.2497,5405,0.12397073676915722,0.8944760056593378,161351.0
583,42119,7.1661,51.2441,7131,0.12507203952716564,0.8943782672212263,151078.0
4592,42369,7.202000000000001,51.2298,4661,0.12569861272863164,0.894128685138191,148142.0
1521,42285,7.1695,51.25899999999999,4330,0.12513138072173347,0.8946383212797733,141824.0
5180,42107,7.1513,51.2619,4993,0.12481373079787049,0.8946889358280812,139425.0
324,42103,7.1505,51.2569,4558,0.12479976816385453,0.8946016693654816,139425.0
7637,42399,7.1833,51.2667,701,0.12537223615850868,0.894772711632177,136921.0
7588,42111,7.1833,51.2667,2617,0.12537223615850868,0.894772711632177,136921.0
5919,42289,7.1833,51.2667,3567,0.12537223615850868,0.894772711632177,136921.0
7922,42653,7.0785,51.1878,4031,0.12354313110241862,0.8933956468523535,135399.0
7297,42899,7.2407,51.2201,2197,0.12637405514915342,0.8939593882007476,131687.0
1259,42283,7.1838,51.2699,3176,0.12538096280476865,0.8948285621682408,127576.0
6240,42287,7.2066,51.2432,3488,0.12577889787422336,0.8943625592579583,127326.0
3803,42853,7.1872,51.1802,6177,0.12544030399933645,0.8932630018292018,123737.0
1507,42113,7.1285,51.2678,2399,0.12441579572841578,0.8947919102539489,123254.0
798,42657,7.0595,51.1532,3151,0.1232115185445397,0.8927917629311634,121708.0
1905,42655,7.0653,51.176,4253,0.12331274764115537,0.8931896980006181,121038.0
3954,42109,7.1559,51.2765,5758,0.12489401594346222,0.8949437538988724,120713.0
447,42857,7.1661,51.1775,5155,0.12507203952716564,0.893215877939398,120561.0
1588,42651,7.093999999999999,51.1728,6014,0.12381365713647773,0.8931338474645543,120445.0
4367,42105,7.1307,51.2649,7415,0.12445419297195966,0.894741295705641,118314.0
4085,69181,8.6846,49.3517,9655,0.15157486421869953,0.8613496564564855,115936.0
1083,42275,7.204,51.2718,3266,0.1257335193136715,0.8948617234240286,111864.0
6857,74076,9.2193,49.1618,9894,0.16090713972911322,0.8580352762069483,110447.0
519,74078,9.1746,49.1566,8927,0.16012697755347174,0.8579445190858446,109505.0
5598,74081,9.197000000000001,49.1236,7415,0.16051793130591852,0.8573685604326865,109349.0
60,74223,9.2108,49.1031,3992,0.16075878674269373,0.8570107679360276,109135.0
4963,42281,7.194,51.2878,4214,0.12555898638847207,0.8951409761043477,108156.0
2796,74074,9.2214,49.1286,11117,0.16094379164340508,0.8574558268952862,107983.0
7928,74211,9.1089,49.1474,5771,0.1589802962349115,0.857783948794661,107442.0
186,42859,7.2,51.1833,5589,0.12566370614359174,0.8933171070360137,106773.0
1578,79194,7.8667,48.05,3448,0.13729981626663793,0.8386307055832753,105608.0
4952,72138,9.1386,48.5314,2250,0.1594986590227538,0.847032720602376,105281.0
3100,69226,8.6872,49.3262,3553,0.1516202427792514,0.860904597497227,105205.0
6923,74072,9.2234,49.1423,8114,0.160978698228445,0.8576949370028094,104046.0
799,42659,7.1036,51.1595,3349,0.1239812087446692,0.892901718674039,103082.0
499,74257,9.2019,49.2111,1807,0.16060345243926621,0.8588957235281816,102098.0
6323,74080,9.1954,49.1386,8649,0.16049000603788657,0.8576303598204855,102043.0
6247,79108,7.8418,48.0339,6201,0.13686522928289133,0.8383497075737043,102001.0
3151,72827,9.15,48.5167,2105,0.15969762655748115,0.8467761572023329,101861.0
571,74235,9.2683,49.1725,2115,0.16176235106259043,0.8582220264369117,101342.0
4970,79098,7.847,47.9942,5931,0.13695598640399503,0.8376568118606625,101013.0
4980,74172,9.2192,49.1902,14681,0.16090539439986123,0.8585309497145146,100984.0
4010,79102,7.85,48.0,7229,0.13700834628155487,0.8377580409572782,100413.0
129,79104,7.8545,48.0098,8085,0.1370868860978946,0.8379290832239736,100413.0
2555,79106,7.85,48.0,7725,0.13700834628155487,0.8377580409572782,100413.0
7593,79112,7.85,48.0,3943,0.13700834628155487,0.8377580409572782,100413.0
3222,42855,7.2066,51.1807,6071,0.12577889787422336,0.8932717284754619,100331.0
3274,79279,7.85,48.0667,1033,0.13700834628155487,0.8389221755683584,99687.0
587,79110,7.8167,48.0207,8793,0.13642715164064076,0.8381193241124409,99519.0
7108,73249,9.4192,48.6808,5494,0.1643960529038499,0.8496402425048556,99154.0
2548,72124,9.2167,48.55,3786,0.16086176116856135,0.8473573518432469,98888.0
374,72127,9.1167,48.5167,1977,0.15911643191656705,0.8467761572023329,97394.0
883,79114,7.818,48.0018,4932,0.13644984092091667,0.8377894568838141,96979.0
2411,72766,9.2232,48.511,7463,0.16097520756994102,0.8466766734349692,96312.0
6186,79100,7.8327,47.9809,8369,0.13670640432095985,0.8374246830701473,96265.0
6743,72770,9.1666,48.4942,8428,0.15998735121331223,0.8463834581206342,96116.0
1484,79299,7.8167,47.95,475,0.13642715164064076,0.836885376331281,95221.0
3160,79115,7.822,47.9793,4046,0.13651965409099645,0.8373967578021154,95084.0
6170,63517,9.0045,50.1472,2875,0.15715817249582942,0.8752337506561004,94945.0
6797,72760,9.204,48.5094,6331,0.1606401043535581,0.8466487481669372,94791.0
646,79111,7.7957,47.9809,7459,0.13606063249772196,0.8374246830701473,94608.0
3679,72810,9.0994,48.4531,2047,0.158814489955972,0.8456661277980645,94490.0
4460,79249,7.8333,47.9667,1559,0.13671687629647183,0.8371768463163641,94236.0
3881,79117,7.8945,47.9874,5253,0.13778501779869234,0.837538129471527,94025.0
5302,45770,7.1101,51.6566,6581,0.12409465514604882,0.9015777503857028,93526.0
3510,72636,9.3667,48.6,3947,0.16347975504655285,0.8482300164692442,93411.0
5346,74248,9.3093,49.1495,1364,0.16247793605590813,0.857820600708953,93254.0
5914,79224,7.7642,48.0312,1830,0.13551085378334374,0.8383025836839004,92909.0
7998,73230,9.4304,48.6442,15227,0.16459152978007327,0.8490014519986256,92798.0
7536,74189,9.2983,49.1495,4072,0.16228594983818873,0.857820600708953,92225.0
4172,74226,9.1219,49.1063,4849,0.15920718903767075,0.8570666184720914,91710.0
5048,72555,9.2907,48.5326,12515,0.16215330481503717,0.8470536645534,91684.0
2135,45768,7.0845,51.6484,6780,0.12364785085753828,0.9014346333870393,90726.0
1360,72658,9.2667,48.5667,882,0.16173442579455855,0.84764882182833,90683.0
7023,72585,9.2687,48.5609,1372,0.16176933237959842,0.8475475927317143,90683.0
4234,79232,7.7788,48.0681,2896,0.1357656718541349,0.8389466101778863,90134.0
6243,72768,9.2167,48.4833,4361,0.16086176116856135,0.8461932172321668,89834.0
6189,72764,9.2125,48.4931,9280,0.16078845733997763,0.8463642594988622,89834.0
7247,72800,9.2452,48.4784,5306,0.16135918000537977,0.8461076960988191,89101.0
421,79285,7.7833,47.95,775,0.13584421167047464,0.836885376331281,89020.0
1472,79280,7.8333,47.95,157,0.13671687629647183,0.836885376331281,88958.0
7926,63526,8.9943,50.16,5195,0.156980148912126,0.8754571528003556,88860.0
