nfe,sales,dist,sales_norm,dist_norm,zipcodes,elapsed,hv,PF
1050000,1007446,42483.0,0.493,0.251,42349 79194 45770 24106 79541 88281 83064 82256 38448 21529 15732 52382 88097 3042 46562 ,219759,0.636,True
1050000,1007975,42467.0,0.49200000000000005,0.251,42349 79194 45770 24106 79541 88255 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,182608,0.6363,True
1050000,1009966,42460.0,0.49,0.251,42349 79194 45770 24106 79541 88281 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,191736,0.6361,True
1050000,1010411,42430.0,0.49,0.252,42349 79194 45770 24106 79541 83022 88281 82256 38448 21529 15732 52382 88097 3042 46562 ,217743,0.6364,True
1050000,1011268,42419.0,0.489,0.253,42349 79194 45770 24106 79541 88255 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,3731156,0.6341,True
1050000,1012931,42407.0,0.48700000000000004,0.253,42349 79194 45770 24106 79541 83022 88281 38442 82256 21529 15732 52382 88097 3042 46562 ,192191,0.64,True
1050000,1013501,42387.92,0.486,0.254,42349 72138 45768 79285 24159 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,174802,0.637,True
1050000,1016389,42378.0,0.484,0.254,42115 72827 79299 45770 24161 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,203100,0.6239,True
1050000,1016477,42374.0,0.484,0.254,42117 79299 72810 45768 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,186227,0.6301,True
1050000,1023224,42360.0,0.47700000000000004,0.255,42115 79299 72810 45770 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,185310,0.6297,True
1050000,1023867,42347.0,0.47600000000000003,0.255,42117 72138 45770 79285 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,1026033,42345.0,0.474,0.255,42115 72827 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,203100,0.6239,True
1050000,1029453,42341.0,0.47100000000000003,0.255,42115 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,1029950,42337.93,0.47,0.255,42349 72138 79299 45768 24161 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1030068,42332.0,0.47,0.256,42117 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,1035749,42331.0,0.46399999999999997,0.256,42349 72138 79299 45770 24106 79639 88281 82256 38448 21529 88097 12527 83115 3042 46562 ,211779,0.6357,True
1050000,1037832,42318.0,0.462,0.256,42349 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,1038269,42312.0,0.462,0.256,42349 72138 79299 45770 24106 79639 88281 38442 82256 21529 88097 12527 83115 3042 46562 ,211779,0.6357,True
1050000,1039594,42305.61,0.46,0.256,42349 72138 79299 45768 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1042394,42300.0,0.45799999999999996,0.257,42349 72138 79299 45770 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,206582,0.637,True
1050000,1044914,42281.0,0.455,0.257,42349 72138 79299 45770 24106 79639 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1046199,42261.47,0.45399999999999996,0.258,42349 72138 79299 45768 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1048999,42256.0,0.451,0.258,42349 72138 79299 45770 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,211779,0.6357,True
1050000,1051519,42237.0,0.44799999999999995,0.259,42349 72138 79299 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1051991,42215.16,0.44799999999999995,0.259,42349 72138 79098 45768 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1054791,42209.36,0.445,0.26,42349 72138 79098 45770 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,125497,0.6351,True
1050000,1057311,42191.0,0.44299999999999995,0.26,42349 72138 79098 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1058299,42165.0,0.442,0.261,42349 72138 79108 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,182802,0.6379,True
